person,2020,2021,2022,2023
103,5039,4959,4930,4863
111,4500,12442,0,0
117,0,11149,7277,6824
118,946,12143,8270,7795
119,4500,12442,0,0
123,10708,11315,11614,12017
128,6663,7871,6102,4614
147,26603,25825,25889,25332
151,17299,14648,15381,16256
166,4142,3893,9579,12738
187,11658,12930,12236,12412
210,4622,4229,8914,12207
213,3642,2894,4139,5769
222,12573,9926,11444,12992
235,17410,14763,15460,16472
236,17299,14648,15381,16256
243,40426,44241,38928,37434
244,17410,25911,22736,23296
245,11032,17321,12179,9731
246,17618,14928,15609,16682
247,6665,5019,6416,8711
248,22808,29313,23319,20752
249,35779,34703,33287,32241
250,7104,18142,13962,13772
253,4142,3893,9579,12738
10,7401,7762,7048,8479
11,8601,8839,9269,9302
15,7100,7100,7100,7100
16,7762,7048,8479,6681
17,7833,7048,8479,6681
19,6883,4285,5696,5265
32,5861,7581,12890,14417
33,7100,7100,7100,7100
35,106536,107975,110451,108893
41,12344,11808,12850,9577
49,4186,4577,5807,5678
68,7762,7048,8479,6681
81,13634,14898,16420,17978
82,6844,6198,7556,9030
101,111406,112919,115835,114132
103,98227,100072,102162,103362
111,4794,0,5066,0
117,4870,4944,5315,5201
118,4870,4944,5315,5201
119,4794,0,5066,0
147,3971,4740,5675,6735
151,106536,107975,110451,108893
165,4757,4127,4985,6348
166,9275,8715,10961,12993
210,5861,7581,12890,14417
222,93643,96502,98978,97420
235,106536,107975,110451,108893
236,106536,107975,110451,108893
243,118159,119717,123696,122425
244,111406,112919,115766,114093
245,4870,4944,5385,5240
246,106536,107975,110451,108893
247,4518,4588,5976,6645
248,11623,11742,13245,13533
249,105815,107909,110846,112848
250,7437,7166,7438,7854
253,9275,8715,10961,12993
262,8158,7231,7043,3899
0,4150,10162,9102,10776
1,2766,4493,5853,5435
10,2791,5230,8903,4777
15,6878,6878,6878,6878
16,5230,8903,4777,5609
17,8105,9088,4851,5678
20,4980,8808,4567,5404
32,63323,96849,114417,104737
33,6878,6878,6878,6878
35,19281,20704,22831,25392
39,56758,91408,106774,97439
41,19454,25693,27272,28306
49,8361,14459,13552,14488
64,1498,3511,5137,4101
68,5230,8903,4777,5609
72,5600,9010,13484,13939
80,2776,4510,5872,5454
81,14925,15774,16747,20130
82,4006,6378,8321,7503
100,6248,9737,14501,15181
101,20949,20704,22831,25392
112,9094,9176,9902,11886
147,12752,13250,13821,16807
151,19241,20667,22732,25296
161,1522,3357,5128,4137
166,60764,97786,115095,104942
192,4254,10670,9848,11366
210,63323,96849,113519,104719
213,56758,91408,106774,97439
222,4315,5826,7903,8982
235,19281,20704,22831,25392
236,19241,20667,22732,25296
243,33285,39919,41744,45836
244,19281,20704,22831,25392
246,24036,24658,27180,30315
247,59713,95041,110874,101621
248,9249,15261,14564,15522
249,13831,14226,14472,17530
253,60764,97786,115095,104942
262,11093,11234,13720,13818
3,34407,34407,34407,34407
7,426795,346506,299770,309164
10,153097,145697,137663,173535
11,36501,37932,36721,36925
15,24088,24088,24088,24088
16,147402,137656,173518,165013
20,18714,17404,17044,12975
32,524110,255207,301852,331242
33,24088,24088,24088,24088
35,442234,454456,474009,497048
53,4820,5963,6373,4715
54,4820,5963,6373,4715
58,31032,20635,30417,25319
68,145697,137663,173535,165041
70,0,21421,33394,80284
73,75960,79573,76838,76765
75,18300,12190,599,1819
77,11293,10721,11603,12034
79,2144,3210,4260,5225
81,109472,111602,104871,106315
88,73784,47921,39575,53819
90,157957,138518,133673,141370
101,626180,545176,573396,562075
104,430622,367927,333165,389447
105,437228,375168,341079,397111
111,0,0,24256,31500
112,61035,61644,58167,58099
118,184114,90720,99387,65026
119,0,0,24256,31500
121,6606,7242,7914,7664
123,8244,9297,7137,8313
124,32370,31022,33152,36077
128,36545,0,0,0
130,31032,20635,30417,25319
131,31032,20635,30417,25319
132,31242,18170,32730,30055
135,31032,20635,30417,25319
136,31032,20635,30417,25319
137,31242,18170,32730,30055
139,84173,90597,94099,87551
147,103847,106788,102046,100332
151,440089,451246,469749,491823
162,31010,21367,30189,25226
164,54758,48660,50808,53455
166,116495,119478,111339,104463
171,35418,38281,18509,24965
179,2144,3210,4260,5225
185,10848,4208,4660,4998
192,6162,4692,6454,6490
201,40718,25143,40889,37757
211,30059,16448,16196,16835
214,4820,5963,6373,4715
222,288508,309963,340597,366111
226,0,58069,42759,5693
230,11696,11130,12138,12680
235,442234,454456,474009,497048
236,440089,451246,469749,491823
238,9476,6974,8159,7702
243,2180671,2044625,2124319,2220100
244,626180,545176,573396,562075
245,184114,90720,99387,65026
246,474603,485477,507161,533125
248,1706068,1559148,1617158,1686976
253,116495,119478,111339,104463
258,3827,21421,0,0
7,5603,36463,25022,23170
10,11514,10236,17090,12194
15,38814,38814,38814,38814
16,11811,17125,12229,21419
32,12180,50743,34678,37336
33,38814,38814,38814,38814
35,31157,23019,25054,27885
36,14855,0,0,0
68,10236,17090,12194,21377
71,14814,0,0,0
104,5603,36463,25022,23170
105,5613,36465,25027,23170
110,14855,0,0,0
127,14855,0,0,0
151,31128,23015,24977,27671
166,1583,4135,5851,5166
235,31157,23019,25054,27885
236,31128,23015,24977,27671
243,113021,144260,147917,173432
246,31157,23019,25054,27885
248,81864,121241,122863,145547
253,1583,4135,5851,5166
258,5603,0,0,0
7,0,66098,50427,70309
10,42063,65456,207972,0
11,808,797,37169,0
15,10171,10171,10171,0
16,65456,207972,216123,0
17,92394,514788,493913,0
30,23390,5740,5160,0
32,25886,25837,280597,0
33,10171,10171,10171,0
35,176144,169730,190098,0
53,331,279,5734,4893
54,156,104,5558,4717
58,10520,8193,18584,0
68,65456,71199,216123,0
70,38298,58141,67876,0
73,1407,1407,6387,6444
77,188,239,15558,17076
81,3377,3386,108031,0
90,7399,6453,138894,0
101,176144,240827,270865,280165
102,23783,7654,19665,0
104,38298,124969,119272,190185
105,267192,438161,404010,469860
107,201957,6375,6949,0
112,2138,2138,60588,0
117,0,71097,80767,81440
118,150,71241,80817,81447
121,201957,6375,6949,0
123,350,381,7578,0
124,120596,417491,416592,0
130,10520,8193,18584,0
131,10520,8193,18584,0
132,19294,14861,44958,0
135,10520,8193,18584,0
136,10520,8193,18584,0
137,19294,14861,44958,0
147,2569,108908,104640,0
151,173823,166520,185838,0
153,535,8363,4855,6071
157,0,4192,6426,0
159,538,7608,4609,0
162,10520,8193,18584,0
166,29754,28506,153020,0
171,89,164,256185,0
176,39619,68171,64787,64641
188,1478,79061,100521,112137
189,26938,306816,277790,0
192,3176,5255,9035,9778
201,19335,14887,52953,0
214,331,279,5734,4893
222,123595,90408,108972,0
226,19865,26668,72709,49613
230,3183,2257,16732,18412
235,176144,169730,190098,0
236,173823,166520,185838,0
238,41,26,7995,0
243,342117,2187561,2262314,0
244,176144,240827,270865,280165
245,192,71241,80862,81506
246,296741,587221,606689,0
247,10419,13619,100067,0
248,45377,1600340,1655625,0
253,29754,28506,153020,0
7,0,66098,50427,0
10,38699,56152,196768,0
11,710,700,37072,0
15,40028,40028,40028,0
16,56152,196768,208378,0
17,81525,500110,484384,0
30,17450,3731,8622,0
32,25881,25824,315140,354533
33,40028,40028,40028,0
35,256889,251908,263513,0
53,298,274,5567,0
54,123,99,5567,0
58,18598,13278,20176,0
68,56152,59884,208378,0
70,32652,56349,65956,0
77,510,660,14630,0
81,2477,2486,114871,116238
90,6586,5845,138497,0
101,256889,302685,322909,0
102,17793,5964,17830,0
104,32652,122447,121498,193070
105,259308,432164,404453,471260
107,201282,6375,6949,0
112,1352,1352,59802,0
117,0,50778,59397,0
118,150,50922,59492,65092
121,201282,6375,6949,0
123,350,381,7578,0
124,21564,314953,324936,0
130,18598,13278,20176,0
131,18598,13278,20176,0
132,20393,14964,40768,0
135,18598,13278,20176,0
136,18598,13278,20176,0
137,20393,14964,40768,0
147,1710,108054,111530,109657
151,254567,248698,259253,0
153,531,8359,11483,0
157,0,4192,6426,0
159,533,7604,4609,0
162,18598,13278,19937,0
166,29811,28549,149518,0
171,84,150,290728,330692
176,16648,79808,74440,74428
186,636,23252,24215,19253
187,64,53,10141,10133
188,1239,78920,94477,105849
189,25373,303342,276007,0
192,3172,26149,28447,24191
201,20423,14987,48747,0
214,298,274,5567,0
222,165687,137600,154568,169668
226,7430,19302,72438,0
230,1092,1197,15805,0
235,256889,251908,263513,0
236,254567,248698,259253,0
238,29,24,7979,0
243,323817,2166844,2244124,0
244,256889,302685,322909,0
245,192,50922,59492,0
246,278453,566860,588449,0
247,9389,13562,100770,0
248,45365,1599983,1655675,0
253,29811,28549,149518,0
3,13445,13445,13590,13365
35,16923,17315,18998,19747
41,4254,4378,3760,7696
72,2603,2605,2500,6072
81,7661,7653,7557,11511
100,2617,2614,2504,6104
101,22204,21999,23278,28733
103,4062,3797,9095,9466
107,4980,4967,4983,5013
117,4224,3857,3920,7779
118,4224,3857,3920,7779
121,4980,4967,4983,5013
128,4962,4463,3983,8778
147,5284,5025,4806,8459
151,16921,17314,18085,18834
235,16923,17315,18998,19747
236,16921,17314,18085,18834
243,24730,24406,25832,32452
244,21147,21172,22917,27526
245,5281,4685,4281,8986
246,16926,17318,19001,20006
248,7805,7088,6831,12446
249,20477,20027,22073,24756
250,4442,4051,4290,8473
3,6426,6426,6426,0
7,7666,7750,8178,0
15,8319,8319,8319,0
32,7526,6163,3378,0
33,8319,8319,8319,0
35,12576,11494,15090,0
38,17149,17095,10055,0
41,28701,28203,16571,0
43,3477,5744,4434,0
44,3477,5744,4434,0
49,36602,35966,20448,0
72,25910,25765,14572,0
81,17432,17608,10514,0
100,25935,25789,14597,0
101,30951,29944,25593,0
103,12320,11975,11845,0
104,7666,7750,8178,0
117,14897,12707,6069,0
118,14931,12741,6103,0
128,18108,18289,10081,0
147,17278,17346,10253,0
151,12463,11383,14982,0
166,5012,4057,3393,0
210,7526,6163,3378,0
235,12576,11494,15090,0
236,12463,11383,14982,0
243,70172,68954,48450,0
244,27473,24201,21159,0
245,18409,18484,10537,0
246,14816,13482,16981,0
248,55356,55472,31469,0
249,41470,40750,31879,0
250,18753,19506,11021,0
253,5012,4057,3393,0
257,3698,6665,4859,0
15,5853,5853,0,0
33,5853,5853,0,0
32,11970,13332,13090,11366
35,9382,8990,9900,10420
39,11299,11343,10601,8784
41,7061,5277,5678,10084
49,6257,3764,3115,5713
81,16906,15759,14654,8973
101,13967,13448,13774,12497
118,6691,6113,5617,1331
147,13027,11283,10746,5561
151,7672,7435,8443,9061
166,12928,13218,12562,11439
187,11055,10652,8905,7105
210,11970,13332,13090,11366
213,11299,11343,10601,8784
235,9382,8990,9900,10420
236,7672,7435,8443,9061
243,22350,18598,18304,17213
244,12292,11681,11972,11750
245,8901,8405,7946,2534
246,8930,8354,9213,9774
247,12865,12441,11589,9668
248,13420,10244,9091,7439
249,15289,13321,12627,7129
250,7163,6481,5976,1725
253,12928,13218,12562,11439
15,8389,8389,8389,8389
33,8389,8389,8389,8389
43,3210,4616,4895,5430
44,3218,4625,4905,5430
49,5351,7527,8666,9976
101,7296,5876,4648,3173
103,8410,7960,7703,7350
128,5942,5849,5813,5790
243,9765,9084,8622,7828
245,6099,6053,5992,5906
248,8525,9250,9995,10673
249,8615,8137,7944,7571
0,14974,13530,14609,11123
1,30143,31740,38914,41774
3,7496,7496,7496,7496
10,5491,1347,2554,3056
15,10224,10224,10224,10224
32,23622,26472,30758,29803
33,10224,10224,10224,10224
35,21730,22452,23435,24293
39,18946,23549,30228,28073
41,38661,42174,49048,49656
43,8726,16757,15687,12046
44,9952,17914,17195,13927
49,29507,35556,37954,32230
80,33987,35583,42767,45781
81,45375,47827,49590,51148
82,4424,4523,6124,5936
101,39114,41185,42282,39534
111,7423,16163,29392,31632
117,8658,1975,3160,3194
118,9598,4148,5536,4827
119,7423,16163,29392,31632
123,37703,40000,41676,43130
124,6690,7341,8068,8858
128,16037,16179,15790,13623
147,25989,24121,21489,19326
151,19222,19946,20937,21792
166,23370,28072,36352,34009
192,18540,16598,19173,17885
200,5033,4794,3837,3139
210,23622,26472,30758,29803
213,18946,23549,30228,28073
222,3190,3754,4575,5327
235,21730,22452,23435,24293
236,19222,19946,20937,21792
243,67672,70296,75884,71650
244,30387,24427,26595,27487
245,19550,22063,22731,18754
246,28420,29793,31503,33151
247,20024,24922,32143,29939
248,39252,40504,44381,38499
249,29011,28123,26836,21994
250,9746,4947,6427,6269
253,23370,28072,36352,34009
262,9154,6617,11094,17426
0,20052,24834,24440,27252
1,5622,17439,25813,27172
3,17459,17459,17459,17459
10,5160,4007,16891,14823
11,2137,2073,7031,4479
15,15419,15419,15419,15419
16,4007,16891,14823,7741
17,4007,16891,14823,7741
19,2657,15417,13172,7066
32,6864,5509,2532,4445
33,15419,15419,15419,15419
35,39174,39625,39920,26889
38,7999,6523,1621,2702
39,16890,7660,14610,19283
41,84344,133681,136200,125973
43,21219,27937,22825,3340
44,21223,27941,22829,3340
49,60570,75624,76373,124773
68,4007,16891,14823,7741
72,67202,94497,88565,88114
79,5426,5627,2881,2584
80,6277,17439,25813,27671
81,10689,9182,9374,7891
88,998,1356,1217,9835
89,998,1356,1217,9835
100,67202,94497,88565,88114
101,103883,92092,87626,54947
103,64191,51090,53464,44642
111,28601,47005,36354,7066
112,5086,5291,2800,0
117,43490,24530,24881,24717
118,43500,24536,24882,24717
119,28601,47005,36354,7066
124,5347,5356,5636,5978
128,60702,35576,32883,20317
147,10232,8653,8733,7148
151,33748,33999,37040,24305
156,7032,7679,9653,5762
166,20752,8625,17047,19813
179,5426,5627,2881,2584
186,6175,8338,15702,66425
192,27486,34562,42683,99145
200,5391,3932,2061,1949
210,6864,5509,2532,4445
213,16890,7660,14610,19283
227,0,0,0,10126
235,39174,39625,39920,26889
236,33748,33999,37040,24305
243,184968,210864,218130,196934
244,82664,64155,64801,51607
245,64723,52477,47712,28058
246,44521,44981,45556,32868
247,17465,8224,15611,20237
248,140448,165883,172574,164066
249,100624,77183,81930,70961
250,79878,90259,96201,39293
253,20752,8625,17047,19813
254,1260,1389,2541,5468
257,29281,57986,61640,8773
261,47281,67331,0,0
262,23774,58058,59827,1200
3,5240,5240,14073,14073
10,2103,3122,5705,9797
11,4512,7079,8271,9382
16,3122,5705,9797,10256
17,3122,5775,10967,11016
19,125,1367,7609,6920
32,12095,17848,16034,17479
35,14073,17300,25881,27985
39,7778,10397,11386,13198
41,8076,11929,16374,16820
63,4256,5304,1426,3487
64,4262,5308,1429,3522
68,3122,5705,9797,10256
71,838,2440,7964,2894
81,12772,21621,26780,34238
82,5599,7863,3840,5195
101,19575,25328,34100,39498
111,1472,2936,6963,4154
112,5875,5813,7677,9427
117,5051,7435,7590,10707
118,5306,8160,8159,11818
119,1422,2896,6963,4154
142,893,2526,6463,3295
143,1194,2553,6503,3295
147,12772,16005,19642,25386
151,14073,17250,25817,27918
161,4288,5625,1851,3490
165,3801,5465,1056,1923
166,13377,18260,15226,18392
187,12772,5709,6749,8731
210,12095,17848,16034,17479
213,7778,10397,11386,13198
222,7491,10718,10355,12138
235,14073,17300,25881,27985
236,14073,17250,25817,27918
243,24058,31229,39592,47040
244,19124,24735,33471,38692
245,5810,8897,8956,12781
246,15078,18558,27070,29346
247,9577,12795,14170,16469
248,8980,12671,12523,17695
249,15983,19301,23218,30221
250,6009,8815,8933,12998
251,3881,5558,1118,2044
253,13377,18260,15226,18392
262,5105,8073,12785,12123
3,11531,11531,11531,11531
10,919,3650,6078,6984
11,5126,6116,6464,6962
16,3650,6078,6984,5430
17,11345,15077,11984,9928
20,2150,3078,5984,3730
23,4346,7773,4598,4113
32,18794,26067,21852,22060
35,17883,23104,23082,23582
39,8272,10196,8545,9032
41,13600,17691,14650,12918
58,2687,6232,3716,2599
63,3442,7922,4731,3428
64,4610,9161,5982,4790
68,3650,6078,6984,5430
74,2909,5699,2245,1655
81,13375,15246,16712,17758
82,10462,16327,13271,13192
101,17983,23162,23125,23618
130,2687,6232,3716,2599
131,2687,6232,3716,2599
132,2687,6232,3716,2593
135,2687,6232,3716,2599
136,2687,6232,3716,2599
137,2687,6232,3716,2593
147,8121,8786,9584,10167
151,17744,22807,21889,21314
161,4610,9156,5972,4775
162,2687,6229,3709,2588
164,7385,8647,8807,10114
165,3077,7680,4464,3078
166,18734,26523,21816,22225
189,7696,8998,5000,4499
201,3391,7886,4703,3389
210,18794,26067,21852,22060
213,8272,10196,8545,9032
222,5191,10537,10553,11063
235,17883,23104,23082,23582
236,17744,22807,21889,21314
243,22321,27022,26696,27081
244,17939,23124,23097,23599
246,17883,23104,23111,23606
247,15656,18843,17353,19146
249,8720,9331,12046,14163
251,3018,7587,4470,3085
253,18734,26523,21816,22225
262,11499,15001,12348,10567
32,2414,6633,2429,2480
35,8885,9631,9816,9801
81,4408,5946,6554,7167
101,8885,9631,9816,9801
147,3757,4807,5098,5237
151,8885,9631,9816,9801
166,2606,6000,2619,2653
210,2414,6633,2429,2480
235,8885,9631,9816,9801
236,8885,9631,9816,9801
243,9503,11313,10345,10308
244,8885,9631,9816,9801
246,8894,9642,9827,9811
247,2111,5050,2380,2700
249,8129,7920,8487,8681
253,2606,6000,2619,2653
10,4069,2006,3675,8071
11,5558,6400,7228,7415
15,18850,18850,18850,18850
16,2006,3675,8071,15438
17,2006,3675,8071,15438
20,2006,3675,8071,15438
23,2794,3690,5347,6722
32,9704,16435,21096,21647
33,18850,18850,18850,18850
35,12097,14245,16858,22368
39,6622,13298,14085,14801
41,5601,9539,13049,18654
49,2895,4180,6509,6735
58,265,2138,2577,5492
63,1745,3694,4672,8030
64,1778,3723,4703,8065
68,2006,3675,8071,15438
81,30391,32128,34413,30539
82,2683,4364,5643,5694
101,31822,34680,38322,38116
117,18487,18390,17455,12178
118,18525,18441,17580,12200
126,0,0,0,5682
128,17718,16760,13392,310
130,265,2138,2577,5492
131,265,2138,2577,5492
132,265,2138,2577,5492
135,265,2138,2577,5492
136,265,2138,2577,5492
137,265,2138,2577,5492
147,25718,26248,27091,22354
151,11917,14244,16854,22366
166,9305,17663,19728,20495
187,16966,18858,19548,15673
201,303,2249,3185,6596
210,9354,16245,20613,21093
213,6622,13298,14085,14801
224,0,0,0,5682
235,12097,14245,16858,22368
236,11917,14244,16854,22366
243,34017,37319,41409,41812
244,30584,32636,34313,34546
245,19847,20519,21658,15821
246,12102,14248,16861,22371
247,7583,14335,15254,16505
248,21915,23071,24548,19441
249,28416,27780,28360,23158
250,19020,18890,18039,12706
253,9305,17663,19728,20495
262,2706,5359,6540,11919
0,6974,12704,19358,20822
1,15789,30998,35099,37973
3,2823,5943,5943,5943
11,21308,26622,27041,27837
14,8193,10413,13600,12337
15,11521,11521,11521,11521
16,43409,43942,70303,41389
17,57726,137470,167426,55560
19,30923,35393,49509,28980
20,12487,8549,20794,12409
23,35136,107951,125274,31047
32,180274,277294,426356,382970
33,11521,11521,11521,11521
35,167634,240597,287051,214345
36,0,6835,0,0
38,10385,9126,5559,9808
39,127589,157772,246823,293316
41,83644,182115,244321,151484
42,4254,4172,5894,4900
44,5322,4209,5917,5580
49,38725,75006,107018,99681
58,23868,79091,125676,61059
63,33174,104698,163428,82703
64,35204,107358,166089,85820
66,47568,43409,43942,70303
68,43409,43942,70303,41389
74,27867,98461,116226,20952
77,7334,8190,9670,9403
81,156995,174186,194641,214080
82,45663,134842,179663,91573
90,3625,2569,4280,5843
91,3625,2569,4280,5843
98,3507,2863,4228,5901
100,8054,12076,38372,54996
101,168763,240656,287073,215025
108,39261,51744,65191,72633
110,0,6835,0,0
112,8888,9429,9583,9942
116,3940,6241,7705,7437
118,3999,6263,7705,7437
121,39492,51977,65444,72633
122,7260,9488,15351,17877
123,87756,96590,113995,123113
130,23868,79091,125676,61059
131,23868,79091,125676,61059
132,24079,80369,127794,62925
135,23868,79091,125676,61059
136,23868,79091,125676,61059
137,24079,80369,127794,62925
147,97538,104688,112838,118379
151,166613,239576,286030,213325
157,5426,7688,9173,12087
159,20371,26919,33334,46253
160,6172,6876,14963,25544
161,35204,107358,166089,85820
162,23868,79091,125676,61059
164,20926,36411,34032,24259
165,24737,98432,145631,67314
166,173252,292615,426486,384889
189,14316,93528,97123,14171
192,9140,28255,34456,28740
196,8235,20895,16902,10805
201,32317,103587,162023,81543
202,26011,29714,38464,43379
209,9307,13218,39610,56287
210,180274,277294,426356,382970
213,127589,157772,246823,293316
216,4551,4828,9056,7945
222,17902,83828,125614,52887
226,25810,42808,214338,101348
230,10705,12506,14382,11730
235,167634,240597,287051,214345
236,166613,239576,286030,213325
238,8238,23218,34229,18618
243,240568,361237,453592,387652
244,167694,240619,287051,214345
245,9322,10473,13622,13017
246,169392,242537,289160,215632
247,148515,194183,280855,317575
248,71176,118700,164432,172020
249,156924,179122,209271,236168
250,32451,43693,57414,72339
251,25204,99590,151454,72027
253,173252,292615,426486,384889
254,2167,15551,15098,7918
262,44919,107109,137304,51803
0,155035,160672,151841,152308
1,107842,118826,127412,133157
3,47101,47101,47101,47101
7,13042,17479,21275,24696
10,89526,73755,66034,54464
11,5338,8642,13338,10465
15,6200,6200,6200,6200
16,73755,66034,54413,41768
17,74367,66034,54413,41768
19,47929,34488,23861,16174
20,25826,31546,30552,25594
32,173939,180436,183256,195407
33,6200,6200,6200,6200
35,105537,108533,111538,117223
38,12967,8083,3111,4240
39,135944,145894,162458,176117
41,309522,337318,323917,312912
43,83233,205648,28022,41102
44,84497,206827,29534,42991
49,270427,301456,268383,269922
63,12298,17202,16352,13558
64,12569,17552,16577,13752
68,73755,66034,54464,41768
72,75343,103797,98120,98905
79,20510,36599,55218,61295
80,116611,128746,138066,144563
81,94983,96977,97746,90817
82,22370,21746,26761,23823
88,8946,13432,12550,12066
89,8946,13432,12550,12066
100,79637,109147,109299,108925
101,290437,398092,260932,275320
103,14358,21603,27397,33624
104,13042,17479,21275,24696
107,32473,0,0,0
111,183270,217088,82878,61562
112,19580,20002,18410,10797
117,101667,83911,121372,116995
118,102636,86090,123750,118667
119,183270,213765,74113,61562
121,16240,11355,10315,7072
123,46134,49363,50949,52733
124,33522,34769,36673,34211
128,111144,223525,94981,116329
147,71930,68778,64933,53591
151,85028,71933,56319,55928
156,18344,20716,29346,22369
161,15378,14846,19569,16243
162,4255,67,5595,6935
164,7039,7176,8150,8787
165,15331,14570,18610,15036
166,158314,167639,189218,199939
174,6777,5370,3668,5514
176,8228,8228,8262,8262
179,17739,33829,52448,58525
181,15865,14500,16491,16804
182,54876,37260,40261,39612
186,363,66386,54878,37181
188,5430,10134,5925,4531
192,162001,74473,216185,199066
200,35881,27305,20239,19695
202,10469,10391,11442,12087
209,4532,5684,4229,5607
210,173939,180436,183256,195407
213,135944,145894,162458,176117
220,6364,5871,2570,3225
224,591,8721,6211,2926
228,126,203,247,8045
232,1222,3322,8765,0
235,105537,108533,111538,117223
236,85028,71933,56319,55928
243,534088,555738,576124,565250
244,207204,192444,232910,234217
245,187133,292917,153284,161658
246,139059,143301,148211,151434
247,142983,153069,170608,184903
248,395029,412437,427913,413817
249,224567,218421,252207,252338
250,124602,110981,159530,143894
253,158314,167639,189218,199939
254,6604,8087,9466,9578
261,0,0,7555,5144
262,39095,35862,55534,42990
32,3760,4254,5530,6242
81,4537,4838,4777,5236
166,3726,4231,5557,6240
210,3760,4254,5530,6242
247,4316,4380,5374,6096
253,3726,4231,5557,6240
7,0,0,9361,14593
10,43184,28956,64486,74618
11,20556,23929,24820,26855
15,12040,12040,12040,12040
16,28869,64436,74442,75998
17,28869,64436,74442,79792
19,26275,61919,71721,72736
23,14191,22386,27196,27342
32,37977,49663,55517,62482
33,12040,12040,12040,12040
35,146355,160467,173076,190966
39,20363,29492,27687,27998
41,85900,114530,122535,130554
49,43367,30190,26335,25321
58,9299,13825,15388,21052
63,14320,18590,21672,27320
64,14856,19147,22221,27909
68,28956,64486,74618,76330
72,45120,39807,37795,39434
74,10776,21015,22432,19396
81,33401,34770,36854,42490
82,19409,27640,32187,34007
84,0,0,0,12375
100,45120,39807,37795,39434
101,185795,217535,235561,252263
103,123709,120279,118999,122032
104,0,0,9361,14593
111,0,57733,0,0
117,35465,56569,62485,61298
118,35465,56569,62727,61452
119,0,57733,0,0
123,5308,6240,6585,7441
124,29632,31317,34106,36988
128,10571,0,0,0
130,9299,13825,15388,21052
131,9299,13825,15388,21052
132,11191,15504,18311,23819
135,9299,13825,15388,21052
136,9299,13825,15388,21052
137,11191,15504,18311,23819
147,23625,23365,23535,27274
151,146355,160467,173076,190966
156,7464,8262,7711,9891
161,15113,21122,22443,27953
162,9550,15783,15609,21095
164,4403,4941,6168,7404
165,15006,22699,26020,26603
166,39772,57133,59874,62004
182,27511,27343,30088,31024
192,6263,4597,4721,4730
200,5610,3728,3921,4852
201,11490,15642,18401,24018
210,37977,49663,55517,62482
213,20363,29492,27687,27998
222,130403,144218,157670,175582
235,146355,160467,173076,190966
236,146355,160467,173076,190966
243,264588,288661,306022,327108
244,181820,217036,235561,252263
245,39440,57068,62769,61581
246,175987,191784,207183,227953
247,24766,34434,33855,35401
248,88601,96876,98839,99155
249,178688,174130,183487,196554
250,45234,66687,72504,73833
253,39772,57133,59874,62004
262,42533,84341,96200,105233
11,833,1920,5423,5510
32,2569,6160,6606,6623
41,1293,3264,5410,5705
81,1864,5431,12400,12516
101,1842,6020,13383,13327
111,208,3986,6023,5929
117,39,3540,7420,8304
118,80,3628,7502,8356
119,208,3986,6023,5929
128,169,3871,7596,8859
147,962,3868,8467,8102
166,2774,6305,7154,7021
210,2569,6160,6606,6623
243,2286,8062,15206,15212
244,1615,5211,11842,11872
245,355,4488,9100,9870
247,2460,6059,7165,6985
248,709,6391,10782,11642
249,992,4798,9796,9507
250,262,3873,7808,8705
253,2774,6305,7154,7021
3,5814,5814,5814,5814
11,17907,19497,22649,23942
32,34916,34256,36083,35491
35,12253,12241,11729,10763
39,11954,11698,11834,11841
49,4813,4747,7579,6383
81,29008,30916,35403,36737
82,22630,22490,24289,23599
101,15682,15746,18592,17474
111,5040,1479,6474,6344
128,2823,2516,6316,6201
147,16870,16166,18800,17848
151,12253,12241,11178,10318
164,23346,21911,24152,24038
166,34584,34188,36123,35440
187,6284,6617,7317,7812
210,34553,34142,35999,35423
213,11954,11698,11834,11841
229,7210,7781,8508,8478
230,8548,9476,10289,10053
232,2756,763,5048,5269
235,12253,12241,11729,10763
236,12253,12241,11178,10318
243,22189,21991,25096,23475
244,14610,15067,15379,14600
245,4787,4385,7876,7981
246,12253,12241,11729,10763
247,35300,33608,35987,35879
248,9936,9750,13367,12712
249,18185,17584,20478,19564
250,5124,5003,5788,6329
253,34584,34188,36123,35440
35,7892,8166,9127,12263
41,2607,2614,2779,5514
101,9782,10201,10394,13364
151,6340,6405,7197,10054
222,4737,4998,5736,6766
235,7892,8166,9127,12263
236,6340,6405,7197,10054
243,11223,11601,11048,14286
244,8356,8628,9493,12309
246,7906,8193,9128,12264
249,8616,8987,8269,8772
0,6042,6072,5976,5934
10,22081,15542,15820,21784
11,20614,22454,38613,39138
14,5982,5288,5918,4501
16,15542,15820,21784,11992
17,26346,25848,27134,25842
19,13788,13184,19113,8610
23,1684,4496,6954,6508
32,39240,42488,50932,48508
35,37187,36236,37285,35775
39,14504,13826,14848,13526
41,32009,32417,34189,32540
49,9257,9020,9346,8716
64,3014,6481,8503,6897
68,15542,15820,21784,11992
72,4934,5930,6191,5832
74,1009,3730,5494,4814
81,49322,50540,54185,55536
82,10776,12101,15118,13918
100,4934,5930,6191,5832
101,37187,36236,37285,35775
147,19125,17003,17363,15589
151,37134,36208,37285,35775
161,3313,5107,7654,6874
164,13846,12732,13104,12283
166,25280,25927,29966,27444
187,22450,22273,9566,10577
189,10804,10028,5350,13849
192,6777,6724,6854,6786
210,38619,41902,49447,47379
213,14504,13826,14848,13526
222,34946,36971,38608,38542
